SNR_dB,BER
17.900000000000002,2.0414621533934053e-15
18.0,9.84500243879788e-16
18.1,4.6689871780229415e-16
18.2,2.1766707607261087e-16
18.3,9.971326174090819e-17
18.400000000000002,4.4866903062540464e-17
18.5,1.9821248257774785e-17
18.6,8.593739148104524e-18
18.7,3.655020274226142e-18
18.8,1.5242620815585983e-18
18.900000000000002,6.230070814426519e-19
19.0,2.4945167178594676e-19
19.1,9.779841825793449e-20
19.200000000000003,3.752461511842179e-20
19.3,1.4083861013425597e-20
19.400000000000002,5.168032894375417e-21
19.5,1.8530991290125428e-21
19.6,6.489456867485689e-22
19.700000000000003,2.218275048201746e-22
19.8,7.39733429530562e-23
19.900000000000002,2.4051250848355562e-23
20.0,7.61985302416047e-24
20.1,2.3509315906842802e-24
20.200000000000003,7.059106289110378e-25
