SNR_dB,BER
15.200000000000001,4.0202799978999444e-16
15.3,1.8383266102224628e-16
15.4,8.25626379890843e-17
15.5,3.640468499039215e-17
15.600000000000001,1.5752805270399837e-17
15.700000000000001,6.6864436608528505e-18
15.8,2.7827516369083294e-18
15.9,1.1350015457757848e-18
16.0,4.534791688908836e-19
16.1,1.77397909255445e-19
16.2,6.791355113373411e-20
16.3,2.543095780966436e-20
16.400000000000002,9.309873628397696e-21
16.5,3.330204420030984e-21
16.6,1.1633488240438515e-21
16.7,3.966627652915072e-22
16.8,1.319350584508539e-22
16.900000000000002,4.278341628971873e-23
17.0,1.3517939541309374e-23
17.1,4.159131733168056e-24
17.2,1.2453264540077836e-24
17.3,3.626411427512628e-25
17.400000000000002,1.0263673124389986e-25
17.5,2.8214504188989344e-26
17.6,7.52820076164159e-27
17.7,1.9483076692669613e-27
17.8,4.887230913286672e-28
17.900000000000002,1.1873844378469694e-28
18.0,2.792028621813505e-29
18.1,6.34918111842272e-30
18.2,1.3952322791290898e-30
18.3,2.960465419632515e-31
18.400000000000002,6.060435169807755e-32
18.5,1.1959564728153412e-32
18.6,2.273126701435871e-33
18.7,4.157659648307649e-34
18.8,7.311436570661765e-35
18.900000000000002,1.2350581574027796e-35
19.0,2.0021479471417225e-36
19.1,3.111807105403787e-37
19.200000000000003,4.632451637260254e-38
19.3,6.598647043151204e-39
19.400000000000002,8.984596595033763e-40
19.5,1.1681145974476678e-40
19.6,1.4485996588207023e-41
19.700000000000003,1.71162789363801e-42
19.8,1.9247717551700176e-43
19.900000000000002,2.057583574367483e-44
20.0,2.0884875837625446e-45
20.1,2.0103808838647187e-46
20.200000000000003,1.8329916578328873e-47
20.3,1.5809913363702557e-48
20.400000000000002,1.2883199468883918e-49
20.5,9.905319955967308e-51
20.6,7.17588932997479e-52
20.700000000000003,4.891517511473558e-53
20.8,3.132970760478213e-54
20.900000000000002,1.8827114612137727e-55
21.0,1.0599394457740692e-56
21.1,5.58198099795546e-58
21.200000000000003,2.7455568422705175e-59
21.3,1.259262757567444e-60
21.400000000000002,5.376987978811676e-62
21.5,2.133904798560294e-63
21.6,7.85749134301267e-65
21.700000000000003,2.679835038564519e-66
21.8,8.450301880755493e-68
21.900000000000002,2.4591389863834747e-69
22.0,6.5921762385689484e-71
22.1,1.624720696893342e-72
22.200000000000003,3.674368590881203e-74
22.3,7.609760078374969e-76
22.400000000000002,1.4403011831273403e-77
22.5,2.486101843165271e-79
22.6,3.905131638214113e-81
22.700000000000003,5.5699309698746445e-83
22.8,7.197560269251606e-85
22.900000000000002,8.407046038028055e-87
23.0,8.855276996869553e-89
23.1,8.391037657778639e-91
23.200000000000003,7.135325809866196e-93
23.3,5.431270859011407e-95
23.400000000000002,3.6911187486669073e-97
23.5,2.2337612850929383e-99
23.6,1.2005057984116084e-101
23.700000000000003,5.713993800961343e-104
23.8,2.401787270196079e-106
23.900000000000002,8.88978448732352e-109
24.0,2.8888381315452257e-111
24.1,8.217010764254458e-114
24.200000000000003,2.0394633219141078e-116
24.3,4.40302020601661e-119
24.400000000000002,8.241521962593848e-122
24.5,1.3330378778813685e-124
24.6,1.8568577115696485e-127
24.700000000000003,2.219750463488755e-130
24.8,2.2691969714340705e-133
24.900000000000002,1.9765137031227338e-136
25.0,1.46139383692958e-139
25.1,9.137281477451119e-143
25.200000000000003,4.812302292254043e-146
25.3,2.1263724039002988e-149
25.400000000000002,7.850552493826467e-153
25.5,2.411671500867291e-156
25.6,6.138091368817457e-160
25.700000000000003,1.2886729964391739e-163
25.8,2.2217688517968323e-167
25.900000000000002,3.13118702805612e-171
26.0,3.5903264542401797e-175
26.1,3.333396457757602e-179
26.200000000000003,2.493634517390039e-183
26.3,1.495499924509251e-187
26.400000000000002,7.153388616760946e-192
26.5,2.714695084701664e-196
26.6,8.129667744823468e-201
26.700000000000003,1.9106062409087855e-205
26.8,3.5040039654881694e-210
26.900000000000002,4.985907613290551e-215
27.0,5.471959931337693e-220
27.1,4.6039822287720463e-225
27.200000000000003,2.951401073421677e-230
27.3,1.4324381639319351e-235
27.400000000000002,5.229518681440147e-241
27.5,1.4266100969922224e-246
27.6,2.888411523310774e-252
27.700000000000003,4.310293560758063e-258
27.8,4.707194932195498e-264
27.900000000000002,3.734794629216887e-270
28.0,2.1369214751127114e-276
