time,z_mid,alpha_m-1
1.5,7.612525,-3.692709e-02
1.5,8.087530,-3.212762e-02
1.5,8.562535,-2.394573e-02
1.5,9.037539,-1.573355e-02
1.5,9.512544,-7.574474e-03
1.6,0.487456,-1.064346e-01
1.6,0.962461,-1.577322e-01
1.6,1.437465,-9.492877e-02
1.6,1.912470,-8.277964e-02
1.6,2.387475,-5.380828e-02
1.6,2.862479,-6.035037e-02
1.6,3.337484,-4.342743e-02
1.6,3.812489,-3.970160e-02
1.6,4.287493,-3.735846e-02
1.6,4.762498,-4.077660e-02
1.6,5.237502,-3.571095e-02
1.6,5.712507,-3.713603e-02
1.6,6.187512,-3.804833e-02
1.6,6.662516,-3.828135e-02
1.6,7.137521,-3.540234e-02
1.6,7.612525,-3.554411e-02
1.6,8.087530,-3.199181e-02
1.6,8.562535,-2.453557e-02
1.6,9.037539,-1.679857e-02
1.6,9.512544,-8.534159e-03
1.7,0.487456,-1.134165e-01
1.7,0.962461,-1.645103e-01
1.7,1.437465,-1.040469e-01
1.7,1.912470,-9.360769e-02
1.7,2.387475,-6.349320e-02
1.7,2.862479,-6.505859e-02
1.7,3.337484,-4.807963e-02
1.7,3.812489,-4.370257e-02
1.7,4.287493,-3.860692e-02
1.7,4.762498,-4.126429e-02
1.7,5.237502,-3.425244e-02
1.7,5.712507,-3.483863e-02
1.7,6.187512,-3.481663e-02
1.7,6.662516,-3.538052e-02
1.7,7.137521,-3.422493e-02
1.7,7.612525,-3.379563e-02
1.7,8.087530,-3.071303e-02
1.7,8.562535,-2.435252e-02
1.7,9.037539,-1.761468e-02
1.7,9.512544,-9.124617e-03
1.8,0.487456,-1.184498e-01
1.8,0.962461,-1.676254e-01
1.8,1.437465,-1.115093e-01
1.8,1.912470,-1.021226e-01
1.8,2.387475,-6.937372e-02
1.8,2.862479,-6.775360e-02
1.8,3.337484,-5.262471e-02
1.8,3.812489,-4.832216e-02
1.8,4.287493,-4.067436e-02
1.8,4.762498,-4.207537e-02
1.8,5.237502,-3.482878e-02
1.8,5.712507,-3.373882e-02
1.8,6.187512,-3.228598e-02
1.8,6.662516,-3.232180e-02
1.8,7.137521,-3.235243e-02
1.8,7.612525,-3.127261e-02
1.8,8.087530,-2.885684e-02
1.8,8.562535,-2.408585e-02
1.8,9.037539,-1.829732e-02
1.8,9.512544,-9.827153e-03
1.9,0.487456,-1.208888e-01
1.9,0.962461,-1.668688e-01
1.9,1.437465,-1.158760e-01
1.9,1.912470,-1.058148e-01
1.9,2.387475,-7.155641e-02
1.9,2.862479,-6.808679e-02
1.9,3.337484,-5.596561e-02
1.9,3.812489,-5.188358e-02
1.9,4.287493,-4.219425e-02
1.9,4.762498,-4.176954e-02
1.9,5.237502,-3.560453e-02
1.9,5.712507,-3.322069e-02
1.9,6.187512,-2.982156e-02
1.9,6.662516,-2.906078e-02
1.9,7.137521,-2.952587e-02
1.9,7.612525,-2.834181e-02
1.9,8.087530,-2.672165e-02
1.9,8.562535,-2.377416e-02
