SNR_dB,PER
9.2,0.9779175808918498
9.3,0.9696378250966383
9.4,0.9591119775119198
9.5,0.9460229074612606
9.6,0.9300889101355675
9.7,0.9110844287445029
9.8,0.8888589159554342
9.9,0.8633519817695934
10.0,0.8346033110685911
10.1,0.8027563636030659
10.2,0.7680555104297196
10.3,0.7308369186658561
10.4,0.6915140806856481
10.5,0.6505593242511603
10.6,0.6084828955566699
10.7,0.5658112685768425
10.8,0.5230662204882502
10.9,0.4807459637214677
11.0,0.4393092905436752
11.1,0.3991633174129253
11.2,0.3606550589371388
11.3,0.3240667494148113
11.4,0.289614585026181
11.5,0.2574503907286311
11.6,0.2276656213261331
11.7,0.20029707712208222
11.8,0.17533373771431304
11.9,0.15272417790370096
12.0,0.13238411289846908
12.1,0.11420371341567659
12.2,0.09805442497964267
12.3,0.08379511258244376
12.4,0.07127742747051169
12.5,0.06035035495433261
12.6,0.05086395036685987
12.7,0.042672305372636
12.8,0.03563581029948315
12.9,0.029622791924277414
13.0,0.024510612200932758
13.1,0.020186313687063917
13.2,0.0165468935918891
13.3,0.013499281861246049
13.4,0.01096009067861603
13.5,0.00885519405352897
13.6,0.007119187432005125
13.7,0.005694768918129145
13.8,0.004532076016220188
13.9,0.003588004930551447
14.0,0.0028255334573469293
14.1,0.0022130633568856473
14.2,0.0017237937672455184
14.3,0.001335133635309349
14.4,0.0010281582223257146
14.5,0.0007871124024697584
14.6,0.0005989616339958648
14.7,0.0004529900648638785
14.8,0.00034044417751322165
14.9,0.00025421960786797815
15.0,0.0001885882540524353
15.1,0.00013896246255895583
15.2,0.00010169291233375066
15.3,7.389677707203557e-05
15.4,5.3312800117000236e-05
15.5,3.81800473128191e-05
15.6,2.7137286042977493e-05
15.7,1.9140159386199507e-05
15.8,1.3393566925867795e-05
15.9,9.296918859202918e-06
16.0,6.400185179278317e-06
16.1,4.368913632424309e-06
16.2,2.9566269437175663e-06
16.3,1.983236442737457e-06
16.400000000000002,1.3183114755399572e-06
16.5,8.682319152519824e-07
16.6,5.664140976247012e-07
16.7,3.6594621088958945e-07
16.8,2.3409242655425544e-07
16.900000000000002,1.4823273242203783e-07
17.0,9.28934539290438e-08
17.1,5.759767252033754e-08
17.2,3.532619463619824e-08
17.3,2.1426444396510647e-08
17.400000000000002,1.2848488384342716e-08
17.5,7.61531282478245e-09
17.6,4.4600483306567185e-09
17.7,2.58040699918638e-09
17.8,1.4744045984116383e-09
17.900000000000002,8.317329047713429e-10
18.0,4.631033334590029e-10
18.1,2.544311428209767e-10
18.2,1.3784529073745944e-10
18.3,7.366907084360719e-11
18.4,3.8824055081931874e-11
18.5,2.0122570276726037e-11
18.6,1.028865881380625e-11
18.7,5.172751116333529e-12
18.8,2.5579538487363607e-12
18.9,1.2505552149377763e-12
19.0,6.252776074688882e-13
19.1,2.8421709430404007e-13
19.200000000000003,1.1368683772161603e-13
19.3,5.684341886080802e-14
19.4,0.0
19.5,0.0
19.6,0.0
19.700000000000003,0.0
19.8,0.0
19.9,0.0
20.0,0.0
20.1,0.0
20.200000000000003,0.0
20.3,0.0
20.4,0.0
20.5,0.0
20.6,0.0
20.700000000000003,0.0
20.8,0.0
20.9,0.0
21.0,0.0
21.1,0.0
21.200000000000003,0.0
21.3,0.0
21.4,0.0
21.5,0.0
21.6,0.0
21.700000000000003,0.0
21.8,0.0
21.9,0.0
22.0,0.0
22.1,0.0
22.200000000000003,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
